date,production,price
2001-03,25.84,27.48
2001-04,26.23,25.63
2001-05,26.19,30.88
2001-06,26.53,36.58
2001-07,26.11,29.12
2001-08,26.3,30.44
2001-09,26.37,40.83
2001-10,26.12,38.09
2001-11,26.73,33.23
2001-12,26.8,39.61
2002-01,26.81,35.9
2002-02,26.81,37.21
2002-03,26.54,42.07
2002-04,26.92,32.62
2002-05,27.02,34.88
2002-06,26.97,42.02
2002-07,27.24,41.09
2002-08,27.49,49.04
2002-09,28.01,44.25
2002-10,27.58,43.05
2002-11,27.69,58.77
2002-12,27.67,51.63
2003-01,27.19,54.42
2003-02,27.84,48.28
2003-03,27.95,54.0
2003-04,28.75,58.6
2003-05,28.03,53.61
2003-06,28.26,62.57
2003-07,28.24,59.01
2003-08,27.98,61.87
2003-09,28.76,61.65
2003-10,28.72,75.24
2003-11,28.81,67.23
2003-12,28.38,63.33
2004-01,29.16,74.06
2004-02,28.4,65.16
2004-03,29.07,73.63
2004-04,29.63,64.11
2004-05,28.76,68.59
2004-06,28.97,77.54
2004-07,29.25,81.57
2004-08,29.15,80.05
2004-09,28.91,79.94
2004-10,29.48,80.33
2004-11,29.22,75.77
2004-12,29.76,80.88
2005-01,29.43,83.5
2005-02,30.25,92.41
2005-03,29.63,90.17
2005-04,29.85,80.95
2005-05,30.27,92.71
2005-06,29.73,90.49
2005-07,30.25,90.35
2005-08,30.66,98.12
2005-09,29.86,101.53
2005-10,30.48,102.36
2005-11,30.58,94.83
2005-12,30.82,98.8
2006-01,30.3,103.32
2006-02,30.35,107.87
2006-03,30.98,101.91
2006-04,31.0,104.7
2006-05,31.06,101.42
2006-06,31.17,102.29
2006-07,30.95,113.66
2006-08,31.3,117.7
2006-09,31.4,111.88
2006-10,31.18,118.58
2006-11,32.03,116.69
2006-12,31.69,112.98
2007-01,31.27,119.34
2007-02,31.91,126.54
2007-03,31.5,119.99
2007-04,32.11,129.32
2007-05,32.3,109.72
2007-06,31.79,128.25
2007-07,32.4,125.9
2007-08,32.32,125.29
2007-09,32.52,128.56
2007-10,32.93,119.49
2007-11,32.36,129.65
2007-12,32.29,133.85
2008-01,32.33,140.78
2008-02,32.43,132.12
2008-03,32.74,131.99
2008-04,32.94,134.85
2008-05,33.0,143.26
2008-06,33.25,141.64
